time,firstCheckout,secCheckout
4.188117006131399,0,0
7.96821085088776,0,0
9.041701616985662,0,0
12.736900010034251,0,1
13.517846456470954,0,1
16.497399698953988,0,2
17.633483313045133,0,2
20.575031999979828,1,2
21.474071289346956,0,3
24.81600657572303,0,4
25.364557982681198,0,4
25.43037014104142,0,3
27.853520021690706,0,4
29.026593543353474,0,4
32.10030802293986,1,4
32.94633407855045,0,5
35.90124410216052,1,5
37.032455917748486,0,6
39.110741172628714,1,6
41.68190054423957,0,7
41.713928371746704,0,6
43.47563702228763,1,6
43.778694750531756,0,7
46.88426838289498,1,7
47.73250029938254,0,8
49.481227279780775,1,8
52.1644026820651,0,9
52.56196219312158,1,9
54.37051590268911,1,8
55.27846046738593,0,9
57.36226445154605,1,9
59.581308173469424,0,10
60.328944896719335,1,10
63.20094856310744,0,11
63.31043449163719,1,11
66.95726621494578,0,12
67.9882491209469,1,12
68.46373924430756,1,11
69.99526694477603,0,12
72.34053495273196,1,12
72.99532450601095,0,13
75.08371807104963,1,13
76.48929851357464,0,14
79.79459055278463,1,14
81.09987338149708,0,15
84.061030858879,1,15
84.94835809746374,1,14
85.04116159941265,0,15
87.88171851252451,1,15
88.69518112886863,0,16
91.813553573999,1,16
93.15998857212603,0,17
95.68854621567787,0,18
96.22977226887974,0,18
97.99215246016894,1,18
98.92086956832284,1,17
